Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","2","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","18186.994","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","17196.034","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","18651.985","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","17644.126","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","19093.043","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","18078.879","X","International reliable sources",""
"OA","Annual population","3","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","1470.548","X","International reliable sources",""
"OA","Annual population","3","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","1415.879","X","International reliable sources",""
"OA","Annual population","3","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","1469.588","X","International reliable sources",""
"OA","Annual population","3","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","1414.581","X","International reliable sources",""
"OA","Annual population","3","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1468.376","X","International reliable sources",""
"OA","Annual population","3","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1414.359","X","International reliable sources",""
"OA","Annual population","4","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","20481.901","X","International reliable sources",""
"OA","Annual population","4","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","20069.497","X","International reliable sources",""
"OA","Annual population","4","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","20906.756","X","International reliable sources",""
"OA","Annual population","4","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","20482.418","X","International reliable sources",""
"OA","Annual population","4","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21331.993","X","International reliable sources",""
"OA","Annual population","4","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","20896.422","X","International reliable sources",""
"OA","Annual population","7","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","14266.355","X","International reliable sources",""
"OA","Annual population","7","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","14576.127","X","International reliable sources",""
"OA","Annual population","7","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","14749.319","X","International reliable sources",""
"OA","Annual population","7","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","15067.45","X","International reliable sources",""
"OA","Annual population","7","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","15241.459","X","International reliable sources",""
"OA","Annual population","7","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","15568.328","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","45.518","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","49.002","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","45.986","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","49.439","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","46.419","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","49.863","X","International reliable sources",""
"OA","Annual population","9","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","21205.599","X","International reliable sources",""
"OA","Annual population","9","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","22302.86","X","International reliable sources",""
"OA","Annual population","9","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","21419.801","X","International reliable sources",""
"OA","Annual population","9","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","22517.342","X","International reliable sources",""
"OA","Annual population","9","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21631.673","X","International reliable sources",""
"OA","Annual population","9","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","22729.477","X","International reliable sources",""
"OA","Annual population","1","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","1381.014","X","International reliable sources",""
"OA","Annual population","1","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","1555.133","X","International reliable sources",""
"OA","Annual population","1","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","1385.362","X","International reliable sources",""
"OA","Annual population","1","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","1559.427","X","International reliable sources",""
"OA","Annual population","1","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1388.6","X","International reliable sources",""
"OA","Annual population","1","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1563.141","X","International reliable sources",""
"OA","Annual population","22","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","49.821","X","International reliable sources",""
"OA","Annual population","22","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","55.044","X","International reliable sources",""
"OA","Annual population","22","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","50.033","X","International reliable sources",""
"OA","Annual population","22","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","55.328","X","International reliable sources",""
"OA","Annual population","22","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","50.244","X","International reliable sources",""
"OA","Annual population","22","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.602","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","12085.384","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","12177.326","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","12243.642","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","12340.977","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","12399.374","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","12498.779","X","International reliable sources",""
