age,weight,gender,likeness,height
20,26,Female,Biryani,140
31,40,Female,Biryani,148
21,45,Female,Biryani,165.1
24,45,Female,Pakora,170.77
27,46,Female,Biryani,170
28,46,Female,Biryani,162.56
28,46,Female,Biryani,174
33,46.7,Female,Biryani,158.5
25,47,Female,Biryani,150.5
20,48,Male,Biryani,155
19,50,Male,Samosa,164
22,50,Male,Biryani,155
24,50,Female,Biryani,152.4
27,50,Male,Pakora,163
32,50,Male,Biryani,169.1
29,50.9,Female,Biryani,176.7
32,51,Female,Biryani,157.48
20,52,Male,Biryani,170.6
22,52,Male,Biryani,182.88
23,53,Male,Samosa,165
39,53,Male,Pakora,157
20,54,Male,Pakora,176
27,54,Male,Pakora,167
31,54,Female,Biryani,166
24,55,Male,Biryani,175
25,55,Male,Biryani,168
25,55,Male,Biryani,170.68
26,55,Female,Biryani,154
26,55,Male,Samosa,164.5
27,55,Male,Pakora,176
19,55.2,Male,Biryani,167.64
25,55.5,Male,Biryani,180
18,55.6,Male,Biryani,176
28,56,Female,Biryani,165
33,56,Female,Samosa,157
24,57,Male,Biryani,173.7
27,57,Female,Samosa,164.5
32,57,Male,Biryani,167.64
21,58,Female,Samosa,155
27,58,Female,Biryani,167.5
34,58,Male,Biryani,133.7
23,59,Male,Biryani,170.68
25,59,Male,Biryani,170.688
27,59,Female,Biryani,164.5
34,59,Male,Pakora,171
21,60,Male,Biryani,167.4
21,60,Male,Samosa,170
26,60,Male,Samosa,161.3
26,60,Female,Biryani,162
27,60,Female,Biryani,160
30,60,Male,Biryani,164
30,60,Female,Pakora,165
30,60,Male,Pakora,169
31,60,Male,Pakora,160
32,61.5,Male,Biryani,155.48
21,62,Male,Biryani,166
22,62,Male,Biryani,182.88
23,62,Female,Biryani,173.736
23,62,Male,Samosa,178
25,62,Male,Pakora,181
27,62,Male,Biryani,145.5
30,62,Female,Biryani,161.544
36,62,Male,Biryani,167.5
38,62,Female,Biryani,160
26,63,Male,Biryani,181
27,63,Male,Biryani,165
30,63,Male,Samosa,180
22,64,Male,Samosa,162.5
22,64,Male,Samosa,171
25,64,Male,Samosa,164
27,64,Male,Pakora,176
35,64,Male,Samosa,176
27,64.3,Female,Biryani,151
21,65,Male,Samosa,185
24,65,Male,Biryani,179
27,65,Male,Biryani,155.4
29,65,Male,Pakora,163.5
29,65,Female,Pakora,167.64
30,65,Female,Biryani,154.5
30,65,Female,Biryani,167.6
30,65,Male,Biryani,170
35,65,Male,Biryani,170
24,66,Male,Biryani,167.64
25,66,Male,Biryani,166
22,67,Male,Biryani,181
27,67,Male,Biryani,177.8
29,67,Male,Biryani,164
30,67,Male,Biryani,180
24,68,Male,Biryani,170
24,68,Male,Biryani,173
28,68,Male,Samosa,176.5
31,68,Male,Samosa,164.6
37,68,Male,Biryani,179.832
27,68.5,Male,Biryani,167.6
20,70,Male,Biryani,152.4
24,70,Male,Biryani,179
25,70,Male,Samosa,165
25,70,Male,Biryani,178
26,70,Male,Biryani,172
30,70,Female,Biryani,165
30,70,Male,Biryani,183
41,70,Male,Biryani,165
44,70,Male,Biryani,176.78
23,71,Male,Samosa,176
29,71,Male,Biryani,180
40,71,Male,Pakora,165
35,72,Male,Biryani,164
38,72.2,Male,Pakora,163.5
25,72.5,Male,Biryani,173.3
29,73,Male,Samosa,179
30,73.8,Male,Pakora,170.18
28,74,Male,Biryani,168
28,74,Male,Biryani,174
29,74,Male,Biryani,165
32,74,Male,Biryani,170.5
32,74,Male,Biryani,173
33,74,Male,Biryani,170
24,75,Male,Biryani,173.5
25,75,Male,Pakora,168
27,75,Male,Biryani,152.4
30,75,Male,Samosa,164
30,75,Male,Biryani,170.5
30,75,Female,Biryani,173.73
31,75,Male,Biryani,173
35,75,Female,Biryani,165
35,75,Male,Pakora,179.8
46,75,Male,Samosa,164.6
22,76,Male,Biryani,175
26,76,Male,Samosa,174.1
27,76,Male,Biryani,170.688
28,76,Male,Pakora,181
27,77,Male,Biryani,170
28,77,Male,Biryani,178
37,77,Male,Biryani,167.64
20,78,Male,Pakora,173
27,78,Male,Samosa,174
29,78,Male,Samosa,176
29,78,Male,Pakora,179
29,78,Male,Biryani,180
30,78,Male,Biryani,172
32,78,Male,Biryani,165
44,78,Male,Biryani,172
32,79,Male,Biryani,182
34,79,Male,Samosa,175.5
22,80,Male,Biryani,184.5
27,80,Male,Pakora,178
29,80,Male,Biryani,171
31,80,Male,Biryani,182.5
37,80,Male,Samosa,175.5
40,80,Male,Biryani,178
21,81,Male,Biryani,180.33
38,81.5,Male,Biryani,173.75
24,82,Male,Biryani,175
24,82,Male,Samosa,183
27,82,Male,Samosa,170
34,82,Male,Pakora,175
35,82,Male,Biryani,173
34,82.72,Male,Samosa,177.8
28,83,Male,Biryani,191.5
28,84,Male,Biryani,177.8
29,84,Male,Biryani,182
30,84,Male,Pakora,178.5
32,84.5,Male,Biryani,171
27,85,Male,Biryani,169
27,85,Male,Biryani,186
31,85,Male,Biryani,179.5
40,85,Male,Samosa,182
43,85,Male,Biryani,178
43,85,Male,Samosa,182.8
44,85,Male,Biryani,155.7
24,86,Male,Pakora,170.18
31,86,Male,Biryani,164.2
31,86,Male,Biryani,172
31,86,Male,Pakora,179.5
31,86,Male,Samosa,179.5
31,86,Male,Pakora,189
33,86,Male,Biryani,169
24,87,Male,Biryani,173
32,87.5,Male,Biryani,181
25,88,Male,Samosa,183
27,88,Male,Samosa,170
30,88,Male,Samosa,178
50,88,Male,Biryani,188
29,88.2,Male,Samosa,182.88
25,90,Male,Biryani,150.5
26,90,Male,Biryani,164.59
26,90,Male,Biryani,188
30,90,Male,Biryani,166
48,90,Female,Samosa,158.5
24,93,Male,Biryani,177
27,93,Male,Biryani,172
33,93,Male,Biryani,162
27,96,Male,Biryani,179.8
28,96,Male,Biryani,173
40,97,Male,Pakora,173.7
34,98,Male,Biryani,176.5
34,98,Male,Biryani,176.5
27,101,Male,Biryani,186
25,102,Male,Biryani,165
27,102,Male,Biryani,173
39,102,Male,Biryani,155.448
31,102.3,Male,Biryani,173.7
26,130,Male,Samosa,172.72
25,135,Male,Biryani,185.9
28,161,Male,Samosa,173
